source_id,source_institution,reference_period,source_url,retrieved_date,access_status,content_sha256,archive_status,rights_status
SRC-JOR-2026-01,Department of Statistics (Jordan),2026-01,https://dosweb.dos.gov.jo/cpi_022026/,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-JOR-2026-02,Department of Statistics (Jordan),2026-02,https://dosweb.dos.gov.jo/cpi_032026/,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-JOR-2026-03,Department of Statistics (Jordan),2026-03,https://dosweb.dos.gov.jo/cpi_042026/,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-JOR-2026-04,Department of Statistics (Jordan),2026-04,https://dosweb.dos.gov.jo/cpi_052026/,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-JOR-2026-05,Department of Statistics (Jordan),2026-05,https://dosweb.dos.gov.jo/cpi_062026/,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-JOR-2026-06,Department of Statistics (Jordan),2026-06,https://dosweb.dos.gov.jo/cpi_072026/,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-SAU-2026-01,General Authority for Statistics (Saudi Arabia),2026-01,https://www.stats.gov.sa/documents/d/guest/cpi-jan-2026-en-pdf,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-SAU-2026-02,General Authority for Statistics (Saudi Arabia),2026-02,https://www.stats.gov.sa/documents/20117/2435267/CPI%2BFeb%2B2026-EN.pdf/b5bb5491-511c-d979-de0b-f84380966d1a?t=1773476710285,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-SAU-2026-03,General Authority for Statistics (Saudi Arabia),2026-03,https://www.stats.gov.sa/documents/20117/2435267/CPI%2BMar%2B2026-EN.pdf/1afd0875-51e0-017d-142a-dad764e9c4a2?t=1776149346515,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-SAU-2026-04,General Authority for Statistics (Saudi Arabia),2026-04,https://www.stats.gov.sa/documents/20117/2435267/CPI%2BApr%2B2026-EN.pdf/bde04884-dadd-e281-310c-2b262b578372?t=1778577209221,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-SAU-2026-05,General Authority for Statistics (Saudi Arabia),2026-05,https://www.stats.gov.sa/en/w/consumer-price-index-may-2026-1,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-SAU-2026-06,General Authority for Statistics (Saudi Arabia),2026-06,https://www.stats.gov.sa/documents/20117/2435267/CPI%2BJun%2B2026-EN%2B%281%29.pdf/06a48d85-4368-1e92-dfcb-8a092010e724?t=1783941888045,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-MAR-2026-01,Haut-Commissariat au Plan (Morocco),2026-01,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2026_a4251.html,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-MAR-2026-02,Haut-Commissariat au Plan (Morocco),2026-02,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Fevrier-2026_a4267.html,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-MAR-2026-03,Haut-Commissariat au Plan (Morocco),2026-03,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mars-2026_a4304.html,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-MAR-2026-04,Haut-Commissariat au Plan (Morocco),2026-04,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2026_a4314.html,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-MAR-2026-05,Haut-Commissariat au Plan (Morocco),2026-05,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2026_a4322.html,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-MAR-2026-06,Haut-Commissariat au Plan (Morocco),2026-06,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2026_a4339.html,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-TUN-2026-01,National Institute of Statistics (Tunisia),2026-01,https://www.ins.tn/publication/indice-des-prix-la-consommation-janvier-2026,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-TUN-2026-02,National Institute of Statistics (Tunisia),2026-02,https://www.ins.tn/publication/indice-des-prix-la-consommation-fevrier-2026,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-TUN-2026-03,National Institute of Statistics (Tunisia),2026-03,https://www.ins.tn/publication/indice-des-prix-la-consommation-mars-2026,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-TUN-2026-04,National Institute of Statistics (Tunisia),2026-04,https://www.ins.tn/publication/indice-des-prix-la-consommation-avril-2026,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-TUN-2026-05,National Institute of Statistics (Tunisia),2026-05,https://www.ins.tn/publication/indice-des-prix-la-consommation-mai-2026,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-TUN-2026-06,National Institute of Statistics (Tunisia),2026-06,https://www.ins.tn/publication/indice-des-prix-la-consommation-juin-2026,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-PSE-2026-01,Palestinian Central Bureau of Statistics,2026-01,https://www.pcbs.gov.ps/en/post-details/?postId=23461,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-PSE-2026-02,Palestinian Central Bureau of Statistics,2026-02,https://www.pcbs.gov.ps/en/post-details/?postId=23432,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-PSE-2026-03,Palestinian Central Bureau of Statistics,2026-03,https://www.pcbs.gov.ps/en/post-details/?postId=23572,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-PSE-2026-04,Palestinian Central Bureau of Statistics,2026-04,https://www.pcbs.gov.ps/en/post-details/?postId=25987,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-PSE-2026-05,Palestinian Central Bureau of Statistics,2026-05,https://www.pcbs.gov.ps/en/post-details/?postId=26093,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
SRC-PSE-2026-06,Palestinian Central Bureau of Statistics,2026-06,https://www.pcbs.gov.ps/en/post-details/?postId=26333,2026-08-13,accessible_at_transcription,,not_archived_release_candidate,link_only_pending_source_specific_review
